booth_no,forms_received,location,area_covered,booth_level_officer,pdf_file_name
147,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Home Science Room), SECTOR 22-C","SECTOR 22C # 2501 to 2740, NEW CRECHE BAL BHAWAN SEC.22C, VETERNETY HOSPITAL SEC.22C, SATYA NARAYAN MANDIR SEC.22C, GOVT MODEL HIGH SCHOOL SEC.22",SHIV KUMAR  GHS SECTOR 32,chandigarh_pdfs/w0010147.pdf
148,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Nursery wing), SECTOR 22","SECTOR 22C # 2741 to 3000, SHOP NO. SEC.22, SECTOR 22D # 3001 to 3200, SCF SEC.22C",RAJESH KUMAR SIWACH  GHS SECTOR 32-D,chandigarh_pdfs/w0010148.pdf
149,Form 6  Form 7  Form 8  Form 8A,"SHISHU NIKETAN MODEL SR. SECONDARY SCHOOL , (Room No. 1 ), SECTOR 22","SECTOR 22D # 3201 to 3530, GURUDWARA SAHIB SEC.22D, DHOBI GHAT SEC.22D, SCO SEC.22 # 3025 to 3416, SHOP SECTOR 22D",ASHWANI THAPAR  ESTATE OFFICE SECTOR 17,chandigarh_pdfs/w0010149.pdf
150,Form 6  Form 7  Form 8  Form 8A,"SHISHU NIKETAN MODEL SR. SECONDARY SCHOOL , (Room No. 10 ), SECTOR 22","SECTOR 22D # 3531 to 4000, SISHU NIKETAN SCHOOL SEC.22D, SOOD DHARAMSHALLA SEC.22D, SCF SECTOR 22D, GOVT NURSERY SEC.22D",NIRMAL SINGH  GCG SEC-42,chandigarh_pdfs/w0010150.pdf
151,Form 6  Form 7  Form 8  Form 8A,"GOVT. GIRLS SENIOR SECONDARY SCHOOL , (Music Room), SECTOR 23-A","SECTOR 23A # 1 to 1000, SECTOR 23B # 1001 to 1150, YOGA CENTRE SEC.23, GOVT GIRLS SR SEC SCHOOL SEC23, MISIONERY OF CHERITY MOTHER TERESA SEC.23, KITCHEN GARDEN SEC.23",KAMAL KISHORE  PEC UNIVERSITY OF TECHONOLOGY SECTOR 12,chandigarh_pdfs/w0010151.pdf
152,Form 6  Form 7  Form 8  Form 8A,"BAL BHAWAN , (ball bhawan Hall Room), SECTOR 23-B","SECTOR 23B # 1151 to 1550, BAL BHAWAN SEC.23",RIKHI CHAND  REGISTRAR' PUNJAB UNIVERSITY SECTOR 14,chandigarh_pdfs/w0010152.pdf
153,Form 6  Form 7  Form 8  Form 8A,"XEN HORTICULTURE OFFICE, DRAWING BRANCH , (Room No. 2), SECTOR 23","SECTOR 23B # 1551 to 2000, SECTOR 23C # 2001 to 2200, SANATAN DHARAM MANDIR",RAM KRISHAN  EE PUBLIC HEALTH DIV. N03 SECTOR 9,chandigarh_pdfs/w0010153.pdf
154,Form 6  Form 7  Form 8  Form 8A,"GOVT. MIDDLE SCHOOL , (Room No.104), SECTOR 23-D","SECTOR 23C # 2201 to 3000, MALI QUARTER SEC.23, CIVIL DISPENSARY SEC.23, SCF SECTOR 23, GOVT MODEL NURSERY SCHOOL SEC.23","RAVINDER SINGH  EE, HORTICULTURE DIVISION, MC SECTOR 17",chandigarh_pdfs/w0010154.pdf
155,Form 6  Form 7  Form 8  Form 8A,"JANJ GHAR , (Room No.4 ), SECTOR 23-C","SECTOR 23D # 3001 to 3270, BAL BHAWAN CRECHE SEC.23","SUBHASH KHATTOR  COMMOSSIONER, MCC SECTOR 17",chandigarh_pdfs/w0010155.pdf
156,Form 6  Form 7  Form 8  Form 8A,"S.D.O ELECTRICITY OFFICE , (Room No. 4 ), SECTOR 23","SECTOR 23D # 3271 to 3465, TUBWELL SEC.23, GURUDWARA SEC.23",RAJINDER PAL  XEN HORTICULTURE SECTOR 23,chandigarh_pdfs/w0010156.pdf
157,Form 6  Form 7  Form 8  Form 8A,"GOVT. MIDDLE SCHOOL , (Room No.107), SECTOR 23","SECTOR 23D # 3466 TO END, SHIV MANDIR SECTOR 23","PRITPAL SINGH  XEN, MCPH DIV. NO. 2, SECTOR-17",chandigarh_pdfs/w0010157.pdf
158,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 4 ), SECTOR 24-A","SECTOR 24A # 1 to 206, SECTOR 24B # 1001 to 2000, SECTOR 24C # 2001-2081, SHIV MANDIR SECTOR 24A, GOVT. HIGH SCHOOL SEC-24A, NEHRU SEVA BHAWAN SEC-24A, NAV JIWAN CHURCH SEC-24, MATA BASANTI DEVI MANDIR SEC-24A, PERGAN SCHOOL SEC-24A, PGI CLUB SEC-24A, MAHARISHI BALMIKI BHAWAN SECTOR 24, SECTOR 24A # 3-1131A,","SALWINDER SINGH  C.T.U., IND. AREA PH.1",chandigarh_pdfs/w0010158.pdf
159,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 10 ), SECTOR 24-A","Sector 24C H.No. 2082/A to 2365, Indira Holiday Home, S.C.F Sector 24 C","GURMAIL SINGH  C.T.U., IND. AREA PH I,",chandigarh_pdfs/w0010159.pdf
160,Form 6  Form 7  Form 8  Form 8A,"S.D. HIGH SCHOOL , (Room No. 7 ), SECTOR 24","SECTOR 24C # 2366 to 3000, SD HIGH SCHOOL SEC.24D, ANGANWADI SEC.24, ANUBHARTI SEC.24, DWARKA DHISH BHAWAN SEC.24",PREET KARAN SINGH  C.C.E.T.(DEGREE WING SECTOR 26,chandigarh_pdfs/w0010160.pdf
161,Form 6  Form 7  Form 8  Form 8A,"S.D. HIGH SCHOOL , (Room No. 11), SECTOR 24","SECTOR 24D # 3001 to 3511, HIMACHAL SARAY BHAWAN SEC.24, SCF SECTOR 24D, KRIPAL ASHARAM BHAWAN, TW FLAT SEC.24, SCO SEC.24D, WORKING WOMEN HOSTEL SEC.24, INTER STATE POLICE WIRELESS COLONY",DAULAT RAM SHARMA  P.E.C. SECTOR 12,chandigarh_pdfs/w0010161.pdf
162,Form 6  Form 7  Form 8  Form 8A,"UIET ADMIN BLOCK-1, OLD LIBARAY , (Room No. 109 ), SECTOR 25","TYPE 1 UNIVERSIT QUERTER SECTOR 25, TYPE 3 UNIVERSITY QUERTER SECTOR 25, TYPE 4 UNIVERSITY QUERTER SECTOR 25, BLOCK F UNITERSITY QUERTER SECTOR 25, TYPE 2 UNIVERSITY QUERTER SECTOR 25, BLOCK A UNIVERSITY QUERTER SECTOR 25, BLOCK B UNIVERSITY QUERTER SECTOR 25, BLOCK C UNIVERSITY QUERTER SECTOR 25, MAHARANA PRATAP HOSTEL SECTOR 25, ALUMANAI HOUSE SECTOR 25, PWD STORE SECTOR 25, NAVODYA VIDHAYALAYA SECTOR 25, BAHAI GULISTAN SECTOR 25, TUBWELL NO R N 115 SECTOR 25, KABRISTAN SECTOR 25","MANJIT SINGH  CHANDIGARH COLLEGE OF ARCHITECTURE, SECTOR 12",chandigarh_pdfs/w0010162.pdf
163,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 3 ), SECTOR 25","JHUGGIAN JANTA COLONY SECTOR 25 # 1 to 250, JANTA COLONY SECTOR 25 # 1 to 250, SECTOR 25D # 1 to 250","HARI SINGH  PROPERTY TAX BRANCH, M.C., SECTOR 17",chandigarh_pdfs/w0010163.pdf
164,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 4 ), SECTOR 25","JHUGGIAN JANTA COLONY SECTOR 25 # 251 to 580, JANTA COLONY SECTOR 25 # 251 to 580, SECTOR 25D # 251 to 580","SANJEEV KUMAR  STATE TRANSPORT,AUTH. SECTOR-18 A CHANDIGARH",chandigarh_pdfs/w0010164.pdf
165,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 2), SECTOR 25","JHUGGIAN JANTA COLONY SECTOR 25 # 581 to 1000, JANTA COLONY SECTOR 25 # 581 to 1000, SECTOR 25D # 581 to 1000",SUNDER ISNGH  G.P.W. SECTOR 10,chandigarh_pdfs/w0010165.pdf
166,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Nursery class), SECTOR 25","JHUGGIAN JANTA COLONY SECTOR 25 # 1001 to 1400, JANTA COLONY SECTOR 25 # 1001 to 1400, SECTOR 25D # 1001 to 1400, GOVT. CRECHE SECTOR 25","HIMANSHU KUMAR SINGH  ASSTT, DIRECTOR, CSIO, SECTOR-30",chandigarh_pdfs/w0010166.pdf
167,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 5 ), SECTOR 25","JHUGGIAN JANTA COLONY SECTOR 25 # 1401 to 2000, JANTA COLONY SECTOR 25 # 1401 to 2000, SECTOR 25D # 1401 to 2000",SANJEEV KUMAR  G.P.W 10,chandigarh_pdfs/w0010167.pdf
168,Form 6  Form 7  Form 8  Form 8A,"CRECHE, NEAR GOVT. HIGH SCHOOL , (Room No. 1 ), SECTOR 25","JHUGGIAN JANTA COLONY SECTOR 25# 2001 to 2350, JANTA COLONY SECTOR 25# 2001 to 2350, SECTOR 25D # 2001 to 2350","MANJIT SINGH  XEN, C.P. DIV. NO. 1 SECTOR 9",chandigarh_pdfs/w0010168.pdf
169,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No.2), SECTOR 25","JHUGGIAN JANTA COLONY SECTOR 25# 2351 to 2650, JANTA COLONY SECTOR 25 # 2351 to 2650, SECTOR 25D # 2351 to 2650","KRISHAN KUMAR  GMHS SECTOR-25, CHD",chandigarh_pdfs/w0010169.pdf
170,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No. 3), Sector-25","JHUGGIAN JANTA COLONY SECTOR 25# 2651 to 3000, JANTA COLONY SECTOR 25 # 2651 to 3000, SECTOR 25D # 2651 to 3000","RAKESH KUMAR MEHRA  CHD GIRLS BN NCC,",chandigarh_pdfs/w0010170.pdf
171,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No. 4 ), Sector-25","JHUGGIAN JANTA COLONY SECTOR 25# 3001 to 3400, JANTA COLONY SECTOR 25 # 3001 to 3400, SECTOR 25D # 3001 to 3400",JASWINDER SINGH  P.E.C. SECTOR 12,chandigarh_pdfs/w0010171.pdf
172,Form 6  Form 7  Form 8  Form 8A,"UIET ADMIN BLOCK-II , (Room No.1), Sector-25","JHUGGIAN JANTA COLONY SECTOR 25# 3401 to 3800, JANTA COLONY SECTOR 25 # 3401 to 3800, SECTOR 25D # 3401 to 3800",VANDANA SHARMA  C.C.E.T.(DEGREE WING) SECTOR 26,chandigarh_pdfs/w0010172.pdf
173,Form 6  Form 7  Form 8  Form 8A,"UIET ADMIN BLOCK-II , (Room No. 8), Sector-25","JHUGGIAN JANTA COLONY SECTOR 25# 3801 TO END, JANTA COLONY SECTOR 25 # 3801 TO END, SECTOR 25D # 3801 TO END",MAHESH KUMAR  PRINTING & STATIONERY DEPT. SECTOR 18,chandigarh_pdfs/w0010173.pdf
174,Form 6  Form 7  Form 8  Form 8A,"SGGS COLLEGIATE PUBLIC SCHOOL , (Room No. 2), Sector-26","WATER WORKS COLONY SEC.26, POLICE QUARTER NEW POLICE LINE SEC.26, NITTR CAMPUS SEC.26, SAINT JONES SCHOOL SEC.26, SAINT KABIR SCHOOL SEC.26, BLIND INSTITURE SEC.26, NARI NIKETEN SEC.26, HOMEPATHIC CAMPUS SEC.26, SECRED HART SCHOOL SEC.26, CANTEEN MES ( GURU GOVIND SINGH MAHILA COLLEGE ) SEC.26, CCET CAMPUS SEC.26, CCET HOSTEL SEC.26, SHRI MANDIR SEC.26, MAHATAMA GANDHI INSTITUTE SEC-26, BOYS HOSTEL SGGSSC SECTOR 26",HARJINDER SINGH  EXECUTIVE ENGINEER ELECTRICAL DIV.NO.2 SECTOR 9,chandigarh_pdfs/w0010174.pdf
175,Form 6  Form 7  Form 8  Form 8A,"MARKET COMMITTEE , (Room No. 2), Sector-26","SCF GREAN MARKET SEC.26, SCO SECTOR 26, SATSANG BHAWAN SECTOR 26, TIMBER MARKET SEC.26, PLAT TIMBER MARKET SEC.26, POWER COLONY SEC.26, JHUGGIAN SECTOR 26, TRANSPORT AREA SEC.26, BARDANA COLONY SEC.26, SHED BARDANA MARKET BARDANA COLONY SEC.26, SANATAM DHARAM MANDIR SEC.26",JASPAL  M.C.P.H. DIV.NO.1 SECTOR 11,chandigarh_pdfs/w0010175.pdf
176,Form 6  Form 7  Form 8  Form 8A,"MARKET COMMITTEE , (S.D.E Room), Sector-26",NEW POLICE LINE SECTOR 26 # 1 to 200,LALIT KUMAR  D.C. CUM-REGISTAR COOPERATIVE SOCIETIES SECTOR 17,chandigarh_pdfs/w0010176.pdf
177,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL, NEW BUILDING , (Mid Day Meal Room), Sector-26","NEW POLICE LINE SECTOR 26 # 201 to 519, BHARTI PRASHIKSHAN KENDER, BARICATE POLICE LINE SECTOR 26, GOVT. MODEL HIGH SCHOOL SEC.26",ABHEY SINGH  GOVT.MODEL HIGH SCHOOL 1 DHANAS,chandigarh_pdfs/w0010177.pdf
178,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, NEW BUILDING , (Room No. 17), Sector-26",BAPU DHAM COLONY PH .1 SECTOR 26 # 1 to 184,DALBIR SINGH  EXECUTIVE ENGINEER ELECTRICAL DIV.NO.3 SECTOR 4,chandigarh_pdfs/w0010178.pdf
179,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, NEW BUILDING , (Room No. 21), Sector-26",BAPU DHAM COLONY PH.1 SECTOR 26# 185 to 378,KAVITA  EEMCPH SECTOR 37,chandigarh_pdfs/w0010179.pdf
180,Form 6  Form 7  Form 8  Form 8A,"COMPOSITE AANGANWARI CENTRE, BAPU DHAM COLONY, SECTOR 26 , (Room No. 1 ), Sector-26","BAPU DHAM COLONY PH.1 SECTOR 26 # 379 TO END, ANGANWADI BAPU DHAM SECTOR 26, SHIV SANTOSHI MANDIR",GURCHARAN SINGH  GOVT.COLLEGE FOR GIRLS SECTOR 42,chandigarh_pdfs/w0010180.pdf
181,Form 6  Form 7  Form 8  Form 8A,"COMPOSITE AANGANWARI CENTRE, BAPU DHAM COLONY, SECTOR 26 , (Room No.2), Sector-26","BAPU DHAM COLONY PH.2 SEC.26 # 1 to 180, SARAYE BAPU DHAM COLONY PHASE-2 SECTOR 26",JARNAIL SINGH  CHANDIGARH HOUSING BOARD .,chandigarh_pdfs/w0010181.pdf
182,Form 6  Form 7  Form 8  Form 8A,"GOVT. PRIMARY SCHOOL, SECTOR 26 , (Room No.1), Sector-26","BAPU DHAM COLONY PH.2 SEC.26 # 181 to 320,",RAJINDER KUMAR  PTG.& STATIONERY DEPTT. SECTOR 18,chandigarh_pdfs/w0010182.pdf
183,Form 6  Form 7  Form 8  Form 8A,"GOVT. PRIMARY SCHOOL, SECTOR 26 , (Room No.2), Sector-26","BAPU DHAM COLONY PH.2 SEC.26 # 321 to 437, NOORANI MASJID BAPU DHAM COLONY PH.2, SHEETLA MATA MANDIR SEC.26, JHUGGIAN BAPU DHAM COLONY SEC.26, TRANSPORT SECTOR 26",RAJ KUMAR SHANOILYA  GOVT. MODEL SR. SEC. SCHOOL SECTOR 19C,chandigarh_pdfs/w0010183.pdf
184,Form 6  Form 7  Form 8  Form 8A,"GOVT.MODEL HIGH SCHOOL, TIMBER MARKET, SECTOR 26 , (Room No.106), Sector-26","TRANSIT HOUSE SECTOR 26 BLOCK 701, TRANSIT HOUSE SECTOR 26 BLOCK 702, TRANSIT HOUSE SECTOR 26 BLOCK 703, TRANSIT HOUSE SECTOR 26 BLOCK 704, TRANSIT HOUSE SECTOR 26 BLOCK 705, TRANSIT HOUSE SECTOR 26 BLOCK 706, TRANSIT HOUSE SECTOR 26 BLOCK 707, ANGANWADI TRANSIT HOUSE BAPU DHAM, GOVT. MODEL S S S SECTOR 26 TRANSIT HOUSE, COMMUNITY CENTRE POLICE POST SECTOR 26",KRISHAN KUMAR  GOVT.HIGH SCHOOL COLONY NO.4,chandigarh_pdfs/w0010184.pdf
185,Form 6  Form 7  Form 8  Form 8A,"GOVT.MODEL HIGH SCHOOL, TIMBER MARKET, SECTOR 26 , (Room No. 105), Sector-26","TRANSIT HOUSE SECTOR 26 BLOCK 708, TRANSIT HOUSE SECTOR 26 BLOCK 709, TRANSIT HOUSE SECTOR 26 BLOCK 710, TRANSIT HOUSE SECTOR 26 BLOCK 711, TRANSIT HOUSE SECTOR 26 BLOCK 712, TRANSIT HOUSE SECTOR 26 BLOCK 713",AJAY YADAV  GOVT.MODEL HIGH SCHOOL 2 DHANAS,chandigarh_pdfs/w0010185.pdf
186,Form 6  Form 7  Form 8  Form 8A,"GOVT.MODEL HIGH SCHOOL, TIMBER MARKET, SECTOR 26 , (Room No. 107), Sector-26","TRANSIT HOUSE SECTOR 26 BLOCK 714, TRANSIT HOUSE SECTOR 26 BLOCK 715, TRANSIT HOUSE SECTOR 26 BLOCK 716, TRANSIT HOUSE SECTOR 26 BLOCK 717, TRANSIT HOUSE SECTOR 26 BLOCK 718, TRANSIT HOUSE SECTOR 26 BLOCK 719, TRANSIT HOUSE SECTOR 26 BLOCK 720, TRANSIT HOUSE SECTOR 26 BLOCK 721",SANDEEEP KUMAR  GMHS,chandigarh_pdfs/w0010186.pdf
187,Form 6  Form 7  Form 8  Form 8A,"GOVT.MODEL HIGH SCHOOL, TIMBER MARKET, SECTOR 26 , (Room No. 110 ), Sector-26","TRANSIT HOUSE SECTOR 26 BLOCK 722, TRANSIT HOUSE SECTOR 26 BLOCK 723, TRANSIT HOUSE SECTOR 26 BLOCK 724, TRANSIT HOUSE SECTOR 26 BLOCK 725, TRANSIT HOUSE SECTOR 26 BLOCK 726, TRANSIT HOUSE SECTOR 26 BLOCK 727, TRANSIT HOUSE SECTOR 26 BLOCK 728",RAM PHAL  LABOUR DEPARTMENT .,chandigarh_pdfs/w0010187.pdf
188,Form 6  Form 7  Form 8  Form 8A,"GOVT. PRIMARY SCHOOL, SECTOR 26 , (Room No. 3), Sector-26","TRANSIT HOUSE SECTOR 26 BLOCK 729, TRANSIT HOUSE SECTOR 26 BLOCK 730, TRANSIT HOUSE SECTOR 26 BLOCK 731, TRANSIT HOUSE SECTOR 26 BLOCK 732, HOUSING BOARD FLAT SEC.26E # 733 to 772",VIKAS KADIYAN  GHS KARSAN,chandigarh_pdfs/w0010188.pdf
189,Form 6  Form 7  Form 8  Form 8A,"GOVT.MIDDLE SCHOOL, SECTOR 26 , (Room No. 1 B ), Sector-26",BAPU DHAM COLONY PH.3 Sector 26 # 1 to 100,HEM SINGH  PRINTING & STATIONERY DEPTT. SECTOR 18,chandigarh_pdfs/w0010189.pdf
190,Form 6  Form 7  Form 8  Form 8A,"GOVT.MIDDLE SCHOOL, SECTOR 26 , (Room No. 7), Sector-26",BAPU DHAM COLONY PH.3 Sector 26 # 101 to end,GURVINDER KAUR  GOVT PRIMARY SCHOOL SECTOR 26,chandigarh_pdfs/w0010190.pdf
191,Form 6  Form 7  Form 8  Form 8A,"MOTI RAM ARYA SENIOR SECONDARY SCHOOL, SECTOR 27A , (Room No. 9), Sector-27-A","SECTOR 27A # 1 to 165,HOMEOPATHIC DISPENSARY SEC.27,DIGAMBER JAIN MANDIR SECTOR 27, JAT BHAWAN SEC.27, PWSSB SECTOR 27",IQBAL SINGH  A C ( F&A) RENTS CHD.ADMN. .,chandigarh_pdfs/w0010191.pdf
192,Form 6  Form 7  Form 8  Form 8A,"MOTI RAM ARYA SENIOR SECONDARY SCHOOL, SECTOR 27A , (Room No. 11 ), Sector-27-A","SECTOR 27B # 1001 to 1085, AMAR JAIN HOSTEL SEC.27, PRESS CLUB SEC.27, BHAWAN VIDHALAY SEC.27, SECTOR 27C # 2001 to 2150",ANJU SHARMA  PGC SEC-11,chandigarh_pdfs/w0010192.pdf
193,Form 6  Form 7  Form 8  Form 8A,"NEW CRECHE BUILDING, SECTOR 27 , (Room No. 1), Sector-27","SECTOR 27C # 2151 TO 2415, NEW CRECHE, ARYA SANAJ MANDIR, SANATAN DHARAM MANDIR,",SANDEEP KUMAR  CHIEF ENGINEER SECTOR 9,chandigarh_pdfs/w0010193.pdf
194,Form 6  Form 7  Form 8  Form 8A,"GOVT. SENIOR SECONDARY SCHOOL , (Room No. 11 ), Sector-27-C","SECTOR 27C # 2416 to 2684, SCF SECTOR 27",SUSHILA  P.G.G.G. COLLEGE SECTOR 42,chandigarh_pdfs/w0010194.pdf
195,Form 6  Form 7  Form 8  Form 8A,"GOVT. SENIOR SECONDARY SCHOOL , (Room No. S.S.T ), Sector-27-C",SECTOR 27D # 3001 to 3170,NARINDER SINGH  CHIEF ENGINEER SECTOR 9,chandigarh_pdfs/w0010195.pdf
196,Form 6  Form 7  Form 8  Form 8A,"GOVT. SENIOR SECONDARY SCHOOL , (Room No. 31 ), Sector-27-C","SECTOR 27D # 3171 to 3320, GOVT. SR. SEC SCHOOL",AMARJIT KAUR  CHD. COLLEGE OF ARCHITECTURE SECTOR 12,chandigarh_pdfs/w0010196.pdf
197,Form 6  Form 7  Form 8  Form 8A,"GOVT. SENIOR SECONDARY SCHOOL , (Room No. 22 ), Sector-27-C","SECTOR 27D # 3321 TO END, SCF SECTOR 27D, RAMGADIYA BHAWAN SECTOR 27",RAJNI SHARMA  AO/RENTS(ASSTT. CONTROLLER (F&A) RENTS .,chandigarh_pdfs/w0010197.pdf
198,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No. 10 A), Sector-28-C","SECTOR 28A # 1 to 149, SECTOR 28B # 1001 to 1060, VIDYA KENDER SGGS SEC.28, HIMACHAL BHAWAN",DALVINDER SINGH  GMHS SECTOR 26 CHD,chandigarh_pdfs/w0010198.pdf
199,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No. 10 B), Sector-28-C","SECTOR 28B # 1061 to 1370, DISPENSARY SEC.28, GURUDWARA NANAKSAR SAHIB SEC.28, PRACHIN SHIV MANDIR SEC.28, NEAR CRPF",SHWETA SINGH  GOVT.MODEL SR. SEC. SHOOL SECTOR 27A,chandigarh_pdfs/w0010199.pdf
200,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No. 10 C), Sector-28-C",SECTOR 28C # 2001 to 2330,DINESH KUMAR  SDE M/C P.H. S/D-4 SECTOR 18,chandigarh_pdfs/w0010200.pdf
201,Form 6  Form 7  Form 8  Form 8A,"INDUSTRIAL TRAINING INSTITUTE , (Room No. 9 ), Sector-28-C","SECTOR 28C # 2331 to 2668, SCF SECTOR 28, GUGA MADI MANDIR SEC.28, ITI CAMPUS SEC.28, GOVT. MODEL HIGH SCHOOL",NARESH KUMAR  PTG. & STY. DEPTT. SECTOR 18,chandigarh_pdfs/w0010201.pdf
202,Form 6  Form 7  Form 8  Form 8A,"INDUSTRIAL TRAINING INSTITUTE , SECTOR 28C , (Room No. 10 ), Sector-28-C","SECTOR 28D # 3001 TO END, GUJJAR BHAWAN, YAGODHA SATSANG DHAYAN KENDER, SHIV KALA MANDIR, SCF SEC.28, MAHAVIR JAIN MANDIR, GOVT. MODEL SR. SEC. SCHOOL SEC.28,",NARESH KUMAR  ASSTT. DIRECTOR MALARIA DELX.BUIL. SECTOR 9,chandigarh_pdfs/w0010202.pdf
203,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL, SECTOR 29 , (Room No. 2 ), Sector-29","SECTOR 29A # 1 to 300, MANDIR SECTOR 29 , GADWAL BHAWAN SECTOR 29A, WATER COLLETION CASH COLLECTION CENTRE NO.5 SECTOR 29, SIDH BABA BALAK NATH MANDIR, PLAT SECTOR 29, SAI BABA MANDI SECTOR 29, SHIRDI SAI SAMAJ PLAT NO. 6 SECTOR 29, SEWA BHARTI BHAWAN NO.1 TO 29A, OFFICER FLAT SOCIETY SEC.29,",MANJU SHUKLA  AC (F&G) RENTS .,chandigarh_pdfs/w0010203.pdf
204,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL, SECTOR 29 , (Room No. 5), Sector-29","SECTOR 29A # 301 to 1000, SECTOR 29B # 1001 to 1040, MADINA MASJID SECTOR 29","NIRANJAN SINGH  CHIEF EXECUTIVE OFFICER,CHD.H.B. .",chandigarh_pdfs/w0010204.pdf
205,Form 6  Form 7  Form 8  Form 8A,"KENDRIYA VIDYALAYA , SECTOR 29A , (Room No. 1), Sector-29-A","SECTOR 29B # 1041 to 1433, COMUNITY CENTRE SEC.29, GOV HIGH SCHOOL SEC.29, NEW KRECH SEC.29",ASHOK KUMAR  PRINCIPAL GOVT.COLLEGE FOR GIRLS SECTOR 11,chandigarh_pdfs/w0010205.pdf
206,Form 6  Form 7  Form 8  Form 8A,"KENDRIYA VIDYALAYA , SECTOR 29A , (Room No. 2), Sector-29-A","SECTOR 29B # 1434 to 1443, GURUDWARA SINGH SABHA",PAWAN KUMAR  HEAD QUATER SECTOR 9,chandigarh_pdfs/w0010206.pdf
207,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL, SECTOR 29 , (Room No.3), Sector-29-A","SECTOR 29B # 1444 to 1452, AAMO KA BAG SEC.29B, SWIMMING PULL 2 ZIMKHANA KVSSEC.29B, JHUGGIAN KUMAHAR",KULDEEP SINGH  P.G.G.C.G SECTOR 11,chandigarh_pdfs/w0010207.pdf
208,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL, SECTOR 29 , (Room No. 5), Sector-29-A",SECTOR 29B # 1453 to 1505,"ISHWAR SINGH  DIRECTOR SPORTS, SEC 42, CHD",chandigarh_pdfs/w0010208.pdf
209,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL, SECTOR 29 , (Room No. 4), Sector-29-A","SECTOR 29B # 1506-1624 & 1651-1812, AREA INFRONT OF KENDRIYA VIDHALAYA SCHOOL",NARSI  GMHS SECTOR 28 C CHANDIGARH,chandigarh_pdfs/w0010209.pdf
210,Form 6  Form 7  Form 8  Form 8A,"TRIBUNE MODEL SCHOOL , SECTOR 29D , (Room No. 2), Sector-29-D","SECTOR 29C # 2101 to 3000, SECTOR 29D # 3001 to END, SCF SECTOR 29, ESI DISPENSARY SEC.29, PWD STORE SEC.29D, ARTH PARKASH BHAWAN SEC.29, BABA PIR SAKI SARVER SEC.29,",RAKESH KUMAR  CTU IND AREA,chandigarh_pdfs/w0010210.pdf
211,Form 6  Form 7  Form 8  Form 8A,"GURU NANAK KHALSA SENIOR SECONDARY SCHOOL , SECTOR 30 , (Room No.23 ), Sector-30","SECTOR 30A # A67 to 427, MAHARAJA AGRASEN BHAWAN SEC.30, BABA KARAM SINGH CHEEMA BHAWAN SEC.30, KRECH SEC. 30, SHRI MAHAKALI BHAWAN SEC.30, BEGAMPURA HALL GURUDWARA RAVIDAS SEC.30A, NEW KRECH SEC.30, DAK & TAR VIBHAG COLONY SEC.30, SANT NIRANKARI BHAWAN SEC.30A, ESI COLONY SEC.30A, EPFO COLONY SEC.30A, LIONS CLUB SEC.30",MOHIT CHAUDHARY  A.C (F&A) RENTS SECTOR 9,chandigarh_pdfs/w0010211.pdf
